Tanggal,Deskripsi,Link Gambar
2025-07-18,Mengajarkan siswa cara parkir kendaraan yang baik dan benar .,https://raw.githubusercontent.com/Admin-Dekstop/Ekinerja-Honorer/main/images/img_20250717_225428442Z_17527928543077991603145492006056.jpg
2025-07-19,Merekap jumlah siswa terlambat.,https://raw.githubusercontent.com/Admin-Dekstop/Ekinerja-Honorer/main/images/img_20250718_235201713Z_17528826907458539634975316060099.jpg
2025-07-23,Mencatat siswa yang terlambat,https://raw.githubusercontent.com/Admin-Dekstop/Ekinerja-Honorer/main/images/img_20250723_010242282Z_IMG20250723072450.jpg
2025-07-23,Mengembalikan kunci motor siswa saat pulang sekolah.,https://raw.githubusercontent.com/Admin-Dekstop/Ekinerja-Honorer/main/images/img_20250723_010343632Z_IMG20250722065819.jpg
2025-07-24,Mengumpulkan kunci motor siswa yang membawa kendaraan.,https://raw.githubusercontent.com/Admin-Dekstop/Ekinerja-Honorer/main/images/img_20250723_225208817Z_IMG20250724065102.jpg
